Dataset-Experiment,MeanAcc,StdAcc,MeanGM,StdGM,MeanMS,StdMS,MeanMAE,StdMAE,MeanAMAE,StdAMAE,MeanMMAE,StdMMAE,MeanRSpearman,StdRSpearman,MeanTkendall,StdTkendall,MeanWkappa,StdWkappa,MeanTrainTime,StdTrainTime,MeanTestTime,StdTestTime,MeanCrossvalTime,StdCrossvalTime,MeanC,StdC,Meank,Stdk,
pasture-svc1v1-mae-tutorial,93.086420,6.927857,92.545290,7.546781,84.814815,15.297068,0.069136,0.069279,0.069136,0.069279,0.151852,0.152971,0.951472,0.049322,0.935990,0.064288,0.923737,0.076509,0.013800,0.009208,0.013867,0.004876,6.860167,0.378306,123.700000,299.024293,0.018400,0.037216,
pyrim10-svc1v1-mae-tutorial,75.400000,16.959394,69.717909,25.084223,51.000000,32.751055,0.531000,0.405669,0.531000,0.405669,1.380000,0.926567,0.898371,0.095318,0.828332,0.138764,0.831514,0.131319,0.014800,0.003750,0.013200,0.005881,7.150050,0.411506,63.550450,222.418265,0.518050,2.231993,
tae-svc1v1-mae-tutorial,92.212389,4.742342,92.149132,4.749420,88.487718,5.842837,0.099410,0.059645,0.099227,0.059240,0.151098,0.073990,0.894546,0.064237,0.882277,0.069824,0.888279,0.067371,0.018967,0.009565,0.014367,0.004081,7.285600,0.295663,537.700000,471.119807,0.393100,0.471062,
toy-svc1v1-mae-tutorial,99.274074,0.565605,99.438606,0.498825,98.110614,1.336234,0.007259,0.005656,0.005569,0.004943,0.018894,0.013362,0.997398,0.002041,0.995002,0.003770,0.994489,0.004306,0.019133,0.007903,0.013200,0.006116,8.115133,0.416872,688.000000,449.523886,0.490000,0.453606,
